,index,Unnamed: 0,file,age
0,60678,73433,33_Warren_Kole_0002.jpg,19
1,108263,121018,35_Manu_Bennett_0009.jpg,21
2,58146,70901,52_Hiroyuki_Sanada_0007.jpg,38
3,8833,21588,52_Joanne_Whalley_0009.jpg,38
4,61213,73968,35_Dominic_Cooper_0004.jpg,21
5,110382,123137,56_Joel_Coen_0001.jpg,42
6,44783,57538,52_Sharon_Stone_0013.jpg,38
7,36209,48964,43_Steven_Michael_Quezada_0004.jpg,29
8,86509,99264,42_Jeremy_Piven_0008.jpg,28
9,20264,33019,49_Kevin_Nash_0011.jpg,35
10,102391,115146,49_Tom_Sizemore_0005.jpg,35
11,63970,76725,54_Dawn_French_0015.jpg,40
12,77975,90730,20_Amanda_Seyfried_0012.jpg,6
13,74371,87126,18_Hunter_Parrish_0002.jpg,4
14,59308,72063,51_Michael_Paré_0009.jpg,37
15,91431,104186,34_Minnie_Driver_0008.jpg,20
16,23769,36524,28_Max_Irons_0009.jpg,14
17,105220,117975,34_Matthew_Macfadyen_0014.jpg,20
18,11690,24445,37_Stephen_Dorff_0008.jpg,23
19,112410,125165,47_Alfonso_Cuarón_0008.jpg,33
20,31229,43984,49_Imelda_Staunton_0005.jpg,35
21,5091,17846,42_Gerard_Butler_0003.jpg,28
22,39597,52352,54_David_Morse_0015.jpg,40
23,104260,117015,49_Timothy_Spall_0009.jpg,35
24,72690,85445,41_Jacinda_Barrett_0005.jpg,27
25,103685,116440,42_Charisma_Carpenter_0005.jpg,28
26,71160,83915,42_Michael_Bay_0004.jpg,28
27,64447,77202,28_Ashley_Tisdale_0004.jpg,14
28,114163,126918,38_Manu_Bennett_0002.jpg,24
29,40477,53232,35_Peter_Dinklage_0004.jpg,21
30,105776,118531,42_Megyn_Price_0001.jpg,28
31,18094,30849,55_Dinah_Manoff_0006.jpg,41
32,75840,88595,31_Oliver_Hudson_0003.jpg,17
33,75882,88637,26_Rachel_Bilson_0002.jpg,12
34,76737,89492,53_Liam_Neeson_0003.jpg,39
35,52969,65724,30_Jake_Gyllenhaal_0010.jpg,16
36,37800,50555,32_Meagan_Good_0001.jpg,18
37,76535,89290,35_Dax_Shepard_0007.jpg,21
38,39050,51805,53_Kevin_Conroy_0018.jpg,39
39,38260,51015,22_Michael_Angarano_0005.jpg,8
40,69748,82503,26_Ashley_Williams_0003.jpg,12
41,89020,101775,58_Chuck_Lorre_0004.jpg,44
42,71794,84549,38_Carrie-Anne_Moss_0016.jpg,24
